date,open,high,low,close,volume,ticker
1-Apr-16,36.54,36.88,36.31,36.48,13650354,YHOO
1-Apr-16,590.49,599.03,588.30,598.50,2912350,AMZN
1-Apr-16,150.51,152.96,150.25,152.52,3919972,IBM
1-Aug-16,38.18,38.89,38.10,38.80,9605006,YHOO
1-Aug-16,759.87,770.50,757.06,767.74,3578205,AMZN
1-Aug-16,160.65,161.65,159.84,161.45,2823588,IBM
1-Dec-16,41.00,41.04,39.53,39.63,12624139,YHOO
1-Dec-16,752.41,753.37,738.03,743.65,4665993,AMZN
1-Dec-16,161.95,162.20,158.30,159.82,4635665,IBM
1-Feb-16,29.27,29.78,28.79,29.57,12865755,YHOO
1-Feb-16,578.15,581.80,570.31,574.81,6313793,AMZN
1-Feb-16,124.40,125.29,123.71,124.83,3570810,IBM
1-Jul-16,37.56,38.08,37.43,37.99,10602792,YHOO
1-Jul-16,717.32,728.00,716.54,725.68,2920423,AMZN
1-Jul-16,152.19,152.97,151.40,152.35,2658280,IBM
1-Jun-16,37.25,37.74,36.56,36.65,22177647,YHOO
1-Jun-16,720.90,726.43,718.22,719.44,3263107,AMZN
1-Jun-16,153.00,153.27,151.54,152.51,2663419,IBM
1-Mar-16,32.04,32.85,32.04,32.80,14833638,YHOO
1-Mar-16,556.29,579.25,556.00,579.04,5014414,AMZN
1-Mar-16,132.24,134.64,132.03,134.37,3786328,IBM
1-Nov-16,41.13,41.34,40.69,41.33,11751521,YHOO
1-Nov-16,799.00,800.84,776.71,785.41,5305428,AMZN
1-Nov-16,153.50,153.91,151.74,152.79,3191924,IBM
1-Sep-16,42.78,43.10,42.72,42.93,5575305,YHOO
1-Sep-16,770.90,772.04,766.75,770.62,1792271,AMZN
1-Sep-16,158.32,159.62,158.10,159.54,2358385,IBM
10-Aug-16,39.34,39.98,39.30,39.93,12981568,YHOO
10-Aug-16,769.80,772.10,766.19,768.56,1604280,AMZN
10-Aug-16,162.19,162.66,161.96,162.08,2466675,IBM
10-Feb-16,27.11,27.81,26.84,27.10,8933601,YHOO
10-Feb-16,491.76,504.66,486.00,490.48,6746103,AMZN
10-Feb-16,125.00,125.29,119.84,120.19,6436823,IBM
10-Jan-17,41.89,42.37,41.54,42.30,8111079,YHOO
10-Jan-17,796.60,798.00,789.54,795.90,2558369,AMZN
10-Jan-17,167.98,168.09,165.34,165.52,4118694,IBM
10-Jun-16,36.97,37.14,36.59,36.83,11216470,YHOO
10-Jun-16,722.35,724.98,714.21,717.91,3425718,AMZN
10-Jun-16,152.79,153.33,151.86,152.37,3120563,IBM
10-Mar-16,33.59,33.60,32.09,32.82,19451953,YHOO
10-Mar-16,566.74,567.00,547.90,558.93,3914343,AMZN
10-Mar-16,141.24,141.47,138.09,140.19,4018224,IBM
10-May-16,37.17,37.58,37.14,37.44,7171353,YHOO
10-May-16,694.00,704.55,693.50,703.07,6087032,AMZN
10-May-16,148.24,150.04,147.74,149.97,3982554,IBM
10-Nov-16,41.55,41.65,39.54,40.16,16443786,YHOO
10-Nov-16,778.81,778.83,717.70,742.38,12746994,AMZN
10-Nov-16,157.66,161.16,157.59,160.22,7715807,IBM
10-Oct-16,43.36,44.07,43.25,43.92,6573631,YHOO
10-Oct-16,843.25,845.20,840.27,841.71,1827143,AMZN
10-Oct-16,156.71,158.49,156.66,157.02,2481288,IBM
11-Apr-16,36.38,36.84,36.32,36.48,13709569,YHOO
11-Apr-16,596.14,604.00,594.91,595.93,2696498,AMZN
11-Apr-16,150.26,151.95,149.22,149.25,3832395,IBM
11-Aug-16,41.12,41.73,40.93,41.27,23938864,YHOO
11-Aug-16,769.94,773.75,769.12,771.24,2019740,AMZN
11-Aug-16,162.25,164.95,162.18,163.53,8768585,IBM
11-Feb-16,26.46,26.97,26.15,26.76,11154923,YHOO
11-Feb-16,491.17,509.30,484.00,503.82,7372686,AMZN
11-Feb-16,118.78,119.66,116.90,117.85,7236058,IBM
11-Jan-17,42.27,42.59,42.07,42.59,6946237,YHOO
11-Jan-17,793.66,799.50,789.51,799.02,2992791,AMZN
11-Jan-17,166.05,167.76,165.60,167.75,3599464,IBM
11-Jul-16,37.44,38.15,37.37,37.96,20342573,YHOO
11-Jul-16,750.00,755.90,747.00,753.78,3195272,AMZN
11-Jul-16,154.60,156.04,154.50,155.33,2833712,IBM
11-Mar-16,33.29,33.86,32.84,33.81,11682714,YHOO
11-Mar-16,566.95,570.06,562.73,569.61,3755372,AMZN
11-Mar-16,141.73,142.92,140.51,142.36,4354954,IBM
11-May-16,37.28,37.63,37.20,37.37,9997359,YHOO
11-May-16,705.79,719.00,701.65,713.23,7315995,AMZN
11-May-16,149.71,151.09,148.74,148.95,3075213,IBM
11-Nov-16,39.84,40.52,39.37,40.42,15178907,YHOO
11-Nov-16,735.73,743.26,728.90,739.01,6622784,AMZN
11-Nov-16,159.97,161.34,159.33,161.27,4446630,IBM
11-Oct-16,43.87,44.08,42.49,42.68,9513283,YHOO
11-Oct-16,841.02,841.29,828.35,831.00,3588180,AMZN
11-Oct-16,156.73,156.95,153.89,154.79,2901326,IBM
12-Apr-16,36.65,36.83,36.28,36.66,10439369,YHOO
12-Apr-16,598.40,604.06,592.31,603.17,2636315,AMZN
12-Apr-16,149.61,150.11,148.58,149.63,3592693,IBM
12-Aug-16,41.28,42.98,41.28,42.94,25182851,YHOO
12-Aug-16,768.46,773.15,768.42,772.56,1563318,AMZN
12-Aug-16,163.19,163.46,161.52,161.95,2543079,IBM
12-Dec-16,41.45,41.53,41.12,41.30,4451709,YHOO
12-Dec-16,766.40,766.89,757.20,760.12,2963945,AMZN
12-Dec-16,166.72,166.79,165.07,165.50,3392331,IBM
12-Feb-16,27.12,27.32,26.72,27.04,12986151,YHOO
12-Feb-16,510.70,516.75,501.49,507.08,5357247,AMZN
12-Feb-16,119.26,121.05,118.35,121.04,4921506,IBM
12-Jan-17,42.34,42.46,41.70,42.11,6024900,YHOO
12-Jan-17,800.31,814.13,799.50,813.64,4873922,AMZN
12-Jan-17,167.77,168.01,165.56,167.95,2927973,IBM
12-Jul-16,38.00,38.33,37.87,37.89,15224047,YHOO
12-Jul-16,756.86,757.34,740.33,748.21,5623657,AMZN
12-Jul-16,156.00,157.12,155.52,157.04,3843793,IBM
12-May-16,37.39,37.51,36.79,37.03,11169187,YHOO
12-May-16,717.38,722.45,711.51,717.93,5034666,AMZN
12-May-16,149.21,149.39,147.11,148.84,3247675,IBM
12-Oct-16,42.60,42.78,42.05,42.36,7290843,YHOO
12-Oct-16,834.00,837.67,830.10,834.09,2380416,AMZN
12-Oct-16,154.97,154.97,153.08,154.29,2963968,IBM
12-Sep-16,42.28,43.65,42.18,43.46,10808806,YHOO
12-Sep-16,757.35,772.66,756.00,771.49,3124704,AMZN
12-Sep-16,155.26,158.53,154.84,158.29,4367529,IBM
13-Apr-16,36.94,37.35,36.90,37.31,17158703,YHOO
13-Apr-16,607.68,616.81,605.29,614.82,4209763,AMZN
13-Apr-16,150.75,151.23,149.63,151.23,3167304,IBM
13-Dec-16,41.35,41.79,41.14,41.47,6564552,YHOO
13-Dec-16,764.96,782.46,762.00,774.34,5285288,AMZN
13-Dec-16,165.68,169.95,165.68,168.29,5932271,IBM
13-Jan-17,42.11,42.46,42.02,42.27,4513026,YHOO
13-Jan-17,814.32,821.65,811.40,817.14,3791945,AMZN
13-Jan-17,167.97,168.48,166.88,167.34,2875433,IBM
13-Jul-16,37.99,38.01,37.46,37.64,9566060,YHOO
13-Jul-16,746.76,756.87,741.25,742.63,4142265,AMZN
13-Jul-16,157.75,158.34,157.06,158.02,2746439,IBM
13-Jun-16,36.70,36.91,36.42,36.47,6519751,YHOO
13-Jun-16,714.01,721.99,711.16,715.24,3352201,AMZN
13-Jun-16,151.63,152.50,150.28,151.28,3610407,IBM
13-May-16,36.91,37.07,36.38,36.48,10996727,YHOO
13-May-16,714.64,719.25,706.51,709.92,4746626,AMZN
13-May-16,148.79,149.86,147.42,147.72,2372098,IBM
13-Oct-16,42.00,42.08,41.17,41.62,15689711,YHOO
13-Oct-16,829.00,831.80,821.21,829.28,3091387,AMZN
13-Oct-16,153.70,154.22,152.27,153.72,2909948,IBM
13-Sep-16,43.19,43.52,42.69,43.04,10132044,YHOO
13-Sep-16,768.77,769.89,759.05,761.01,3117224,AMZN
13-Sep-16,157.63,157.93,155.50,155.81,3636719,IBM
14-Apr-16,37.47,37.50,36.85,37.17,16608991,YHOO
14-Apr-16,615.07,624.38,615.07,620.75,3474327,AMZN
14-Apr-16,151.50,152.76,150.38,151.16,3163867,IBM
14-Dec-16,41.44,41.53,40.83,40.91,19555694,YHOO
14-Dec-16,778.25,780.86,762.81,768.82,5454836,AMZN
14-Dec-16,168.37,169.89,167.45,168.51,4124161,IBM
14-Jul-16,37.85,38.35,37.85,37.96,10713015,YHOO
14-Jul-16,748.86,749.04,739.02,741.20,2390472,AMZN
14-Jul-16,158.81,161.40,158.58,160.28,4637644,IBM
14-Jun-16,36.63,37.44,36.63,37.40,13023127,YHOO
14-Jun-16,712.33,720.80,712.27,719.30,2506922,AMZN
14-Jun-16,151.28,151.79,150.40,151.06,2865833,IBM
14-Mar-16,33.75,34.08,33.51,33.58,7960303,YHOO
14-Mar-16,567.00,576.89,563.05,573.37,3451873,AMZN
14-Mar-16,142.01,143.19,141.04,142.78,4047559,IBM
14-Nov-16,40.36,40.39,38.87,39.30,12692293,YHOO
14-Nov-16,745.51,746.00,710.10,719.07,7321344,AMZN
14-Nov-16,161.25,161.86,157.58,158.21,5196498,IBM
14-Oct-16,42.04,42.25,41.40,41.44,7781258,YHOO
14-Oct-16,835.08,835.74,822.96,822.96,2999814,AMZN
14-Oct-16,154.47,155.53,154.09,154.45,4358197,IBM
14-Sep-16,42.91,43.62,42.86,43.46,11625287,YHOO
14-Sep-16,762.20,767.50,758.85,761.09,2531822,AMZN
14-Sep-16,155.70,155.87,153.39,154.05,3860553,IBM
15-Apr-16,37.13,37.15,36.42,36.51,19016188,YHOO
15-Apr-16,621.92,626.77,618.11,625.89,2880881,AMZN
15-Apr-16,151.04,152.10,150.96,151.72,3526272,IBM
15-Aug-16,43.18,43.29,42.43,42.67,14441784,YHOO
15-Aug-16,771.90,772.04,767.71,768.49,2118521,AMZN
15-Aug-16,162.40,162.97,161.78,161.88,2970415,IBM
15-Dec-16,40.00,40.00,38.25,38.41,43669990,YHOO
15-Dec-16,766.28,769.10,760.31,761.00,3801927,AMZN
15-Dec-16,168.01,169.85,167.78,168.02,3388570,IBM
15-Jul-16,38.16,38.18,37.68,37.72,13513375,YHOO
15-Jul-16,746.55,746.55,734.05,735.44,3121385,AMZN
15-Jul-16,159.90,159.98,158.50,159.78,4476810,IBM
15-Jun-16,37.43,37.60,37.10,37.32,10213170,YHOO
15-Jun-16,722.00,722.56,713.35,714.26,2709447,AMZN
15-Jun-16,151.46,151.79,150.60,150.68,2260406,IBM
15-Mar-16,33.32,33.46,33.11,33.26,10672318,YHOO
15-Mar-16,571.00,581.52,567.00,577.02,3876821,AMZN
15-Mar-16,141.74,143.33,141.54,142.96,3707538,IBM
15-Nov-16,39.61,40.45,39.58,40.21,13364918,YHOO
15-Nov-16,730.00,746.78,725.99,743.24,6755785,AMZN
15-Nov-16,158.42,159.15,157.55,158.67,3476996,IBM
15-Sep-16,43.41,44.05,43.22,43.99,12535634,YHOO
15-Sep-16,762.00,770.87,757.58,769.69,3043534,AMZN
15-Sep-16,154.30,156.33,153.21,155.66,3662573,IBM
16-Aug-16,42.30,42.79,41.95,42.49,13793794,YHOO
16-Aug-16,768.62,768.73,763.82,764.04,1604561,AMZN
16-Aug-16,161.11,161.93,160.69,160.70,2210229,IBM
16-Dec-16,38.62,39.22,38.42,38.61,21694081,YHOO
16-Dec-16,765.00,765.13,754.00,757.77,4848219,AMZN
16-Dec-16,168.97,169.11,166.06,166.73,7120572,IBM
16-Feb-16,27.98,29.44,27.94,29.28,20127286,YHOO
16-Feb-16,519.48,524.45,511.66,521.10,5080654,AMZN
16-Feb-16,121.83,123.09,121.34,122.74,4027818,IBM
16-Jun-16,37.39,37.45,36.54,37.39,10634046,YHOO
16-Jun-16,712.05,718.00,705.30,717.51,3097961,AMZN
16-Jun-16,150.19,151.30,149.00,151.06,2449064,IBM
16-Mar-16,33.03,34.08,33.00,34.01,10975697,YHOO
16-Mar-16,576.64,581.32,571.14,574.27,3474570,AMZN
16-Mar-16,142.62,144.88,142.11,144.79,4200019,IBM
16-May-16,37.03,37.79,36.88,37.48,16976456,YHOO
16-May-16,710.13,713.25,700.28,710.66,5425097,AMZN
16-May-16,147.65,149.99,147.44,149.46,3061873,IBM
16-Nov-16,40.10,41.05,40.10,40.98,15609553,YHOO
16-Nov-16,739.88,749.87,735.61,746.49,3648791,AMZN
16-Nov-16,158.46,159.55,158.03,159.29,2252806,IBM
16-Sep-16,43.94,44.02,43.47,43.67,19093930,YHOO
16-Sep-16,773.28,780.46,771.66,778.52,5499182,AMZN
16-Sep-16,155.04,155.40,153.47,153.84,6463644,IBM
17-Aug-16,42.39,42.75,42.39,42.70,8571927,YHOO
17-Aug-16,764.41,765.22,759.20,764.63,1891116,AMZN
17-Aug-16,160.97,161.16,159.84,160.44,3225919,IBM
17-Feb-16,29.47,29.66,29.06,29.37,12891554,YHOO
17-Feb-16,528.74,537.48,519.39,534.10,4777467,AMZN
17-Feb-16,123.71,126.57,123.25,126.10,4814894,IBM
17-Jan-17,42.06,42.18,41.84,41.99,4779009,YHOO
17-Jan-17,815.70,816.00,803.44,809.72,3670529,AMZN
17-Jan-17,166.69,168.18,166.12,167.89,3315655,IBM
17-Jun-16,37.43,37.44,36.81,36.94,12593900,YHOO
17-Jun-16,718.19,718.20,699.18,706.39,5897788,AMZN
17-Jun-16,150.96,152.72,150.60,151.99,4663870,IBM
17-Mar-16,33.88,34.55,33.87,34.28,9334078,YHOO
17-Mar-16,569.51,571.40,555.01,559.44,5918200,AMZN
17-Mar-16,144.78,147.32,144.45,147.04,5820336,IBM
17-May-16,37.44,37.70,37.25,37.27,11335505,YHOO
17-May-16,709.90,714.47,693.91,695.27,5093930,AMZN
17-May-16,149.21,149.50,147.29,148.00,3489779,IBM
17-Nov-16,41.34,41.65,41.20,41.45,8692013,YHOO
17-Nov-16,749.32,757.50,748.00,756.40,3651345,AMZN
17-Nov-16,159.22,159.93,158.85,159.80,2258716,IBM
17-Oct-16,41.35,41.94,41.24,41.79,8620369,YHOO
17-Oct-16,821.50,822.00,811.68,812.95,3361492,AMZN
17-Oct-16,154.45,155.89,154.34,154.77,5890421,IBM
18-Apr-16,36.24,37.00,35.88,36.52,17723026,YHOO
18-Apr-16,625.35,637.64,624.96,635.35,4336419,AMZN
18-Apr-16,151.75,153.14,151.49,152.53,5911265,IBM
18-Aug-16,42.69,42.97,42.58,42.90,11294419,YHOO
18-Aug-16,764.00,765.17,760.60,764.46,1458834,AMZN
18-Aug-16,160.89,162.00,160.44,161.36,3652013,IBM
18-Feb-16,29.56,30.14,29.39,29.42,15259369,YHOO
18-Feb-16,541.19,541.20,523.73,525.00,4704237,AMZN
18-Feb-16,130.00,134.00,129.75,132.45,9925974,IBM
18-Jan-17,42.15,42.15,41.80,42.03,3594963,YHOO
18-Jan-17,809.50,811.73,804.27,807.48,2354201,AMZN
18-Jan-17,167.45,168.59,166.69,166.80,4007779,IBM
18-Jul-16,37.68,37.97,37.50,37.95,16046777,YHOO
18-Jul-16,735.49,741.60,728.72,736.07,2954914,AMZN
18-Jul-16,159.30,160.75,158.73,159.86,6729685,IBM
18-Mar-16,34.54,35.21,34.38,35.17,20488334,YHOO
18-Mar-16,560.94,562.33,546.09,552.08,7263345,AMZN
18-Mar-16,147.40,147.51,145.51,147.09,12081614,IBM
18-May-16,37.09,37.50,36.89,37.24,8465904,YHOO
18-May-16,689.56,702.54,688.76,697.45,4272357,AMZN
18-May-16,147.99,148.52,146.36,147.34,2482097,IBM
18-Nov-16,41.48,41.65,40.90,41.19,8138928,YHOO
18-Nov-16,761.00,767.74,757.64,760.16,4373408,AMZN
18-Nov-16,159.80,160.72,159.21,160.39,2981633,IBM
18-Oct-16,42.04,42.60,41.63,41.68,19360802,YHOO
18-Oct-16,822.11,823.26,815.02,817.65,2512504,AMZN
18-Oct-16,150.02,151.00,147.79,150.72,12770570,IBM
19-Apr-16,36.46,36.73,36.11,36.33,20014080,YHOO
19-Apr-16,637.14,638.01,620.80,627.90,4048806,AMZN
19-Apr-16,146.47,146.95,142.61,144.00,13149148,IBM
19-Aug-16,42.80,43.12,42.64,43.02,9460753,YHOO
19-Aug-16,761.90,762.49,756.89,757.31,2343237,AMZN
19-Aug-16,160.84,160.91,159.52,160.04,2815184,IBM
19-Dec-16,38.66,38.79,38.27,38.42,13615511,YHOO
19-Dec-16,758.89,770.50,756.16,766.00,3113240,AMZN
19-Dec-16,166.83,167.26,166.00,166.68,2955906,IBM
19-Feb-16,30.19,30.23,29.70,30.04,20706072,YHOO
19-Feb-16,520.71,535.95,515.35,534.90,4941120,AMZN
19-Feb-16,132.36,133.65,130.84,133.08,5117316,IBM
19-Jul-16,37.77,38.49,37.65,38.17,10393957,YHOO
19-Jul-16,732.50,743.33,732.31,739.95,2216820,AMZN
19-Jul-16,161.78,162.14,157.89,159.58,7120017,IBM
19-May-16,36.94,37.23,36.67,37.02,7096480,YHOO
19-May-16,691.88,699.40,689.56,698.52,3014968,AMZN
19-May-16,146.48,146.93,143.96,144.93,3618752,IBM
19-Oct-16,42.30,42.94,42.26,42.73,14532469,YHOO
19-Oct-16,820.40,820.67,815.17,817.69,2090706,AMZN
19-Oct-16,151.27,152.45,150.83,151.26,4632854,IBM
19-Sep-16,43.92,43.95,43.00,43.19,7887375,YHOO
19-Sep-16,779.97,781.94,771.00,775.10,2297221,AMZN
19-Sep-16,154.87,156.19,154.55,154.87,2450117,IBM
2-Aug-16,38.60,38.67,38.26,38.57,7504721,YHOO
2-Aug-16,763.81,765.01,757.02,760.58,3603280,AMZN
2-Aug-16,161.27,161.45,160.36,160.58,3080899,IBM
2-Dec-16,39.77,40.32,39.58,40.07,8588544,YHOO
2-Dec-16,743.40,748.49,736.70,740.34,3561307,AMZN
2-Dec-16,159.00,160.29,158.41,160.02,2740867,IBM
2-Feb-16,29.32,30.23,28.13,29.06,34088167,YHOO
2-Feb-16,570.00,571.56,550.09,552.10,6281425,AMZN
2-Feb-16,123.67,124.14,122.64,122.94,3279196,IBM
2-Jun-16,36.66,37.22,36.58,37.15,12179259,YHOO
2-Jun-16,720.97,728.28,715.50,728.24,3026583,AMZN
2-Jun-16,152.59,153.50,152.12,153.50,2642601,IBM
2-Mar-16,32.81,33.24,32.77,32.91,10458566,YHOO
2-Mar-16,581.75,585.00,573.70,580.21,4576922,AMZN
2-Mar-16,133.70,137.44,133.22,136.30,5168887,IBM
2-May-16,36.65,36.74,36.32,36.53,6581891,YHOO
2-May-16,663.92,685.50,662.03,683.85,6560872,AMZN
2-May-16,146.56,147.00,144.43,145.27,3499020,IBM
2-Nov-16,41.80,42.16,40.36,40.68,13019956,YHOO
2-Nov-16,783.93,784.75,763.55,765.56,5026504,AMZN
2-Nov-16,152.48,153.34,151.67,151.95,3074438,IBM
2-Sep-16,43.27,43.60,43.08,43.28,7334914,YHOO
2-Sep-16,774.11,776.00,771.70,772.44,2157422,AMZN
2-Sep-16,159.88,160.57,159.15,159.55,2315366,IBM
20-Apr-16,37.10,38.18,37.00,37.84,30758921,YHOO
20-Apr-16,630.00,636.55,623.00,632.99,2601549,AMZN
20-Apr-16,144.24,147.20,144.00,146.11,6721442,IBM
20-Dec-16,38.40,39.18,38.24,39.16,25008427,YHOO
20-Dec-16,768.65,774.39,767.71,771.22,2703629,AMZN
20-Dec-16,167.49,168.25,166.45,167.60,2174569,IBM
20-Jul-16,38.36,38.93,38.26,38.90,8177973,YHOO
20-Jul-16,744.00,746.25,740.70,745.72,2214023,AMZN
20-Jul-16,159.97,161.71,159.60,161.36,4376286,IBM
20-Jun-16,37.27,37.68,37.24,37.29,8957313,YHOO
20-Jun-16,713.50,721.31,710.81,714.01,3677162,AMZN
20-Jun-16,152.60,154.67,152.52,153.61,3572102,IBM
20-May-16,36.05,36.72,35.88,36.50,34311031,YHOO
20-May-16,701.05,707.24,700.00,702.80,2867442,AMZN
20-May-16,145.71,147.51,145.55,147.25,3576766,IBM
20-Oct-16,42.69,42.69,42.07,42.38,11671022,YHOO
20-Oct-16,813.99,815.71,803.10,810.32,3151954,AMZN
20-Oct-16,151.28,152.90,151.02,151.52,4023103,IBM
20-Sep-16,43.24,43.38,42.66,42.79,9788923,YHOO
20-Sep-16,776.00,781.37,776.00,780.22,1937164,AMZN
20-Sep-16,155.87,156.57,154.45,154.45,2159092,IBM
21-Apr-16,37.92,38.12,37.35,37.67,11633739,YHOO
21-Apr-16,631.00,637.82,628.50,631.00,2550919,AMZN
21-Apr-16,146.58,150.12,146.46,149.30,5992604,IBM
21-Dec-16,39.08,39.32,38.97,39.15,8296515,YHOO
21-Dec-16,770.00,771.22,765.70,770.60,2044629,AMZN
21-Dec-16,166.25,167.94,165.25,167.33,3575721,IBM
21-Jan-16,28.75,29.80,28.19,29.31,16073930,YHOO
21-Jan-16,573.58,588.81,568.22,575.02,4932633,AMZN
21-Jan-16,121.30,125.10,120.58,122.91,8845201,IBM
21-Jul-16,39.01,39.25,38.72,38.85,7671760,YHOO
21-Jul-16,747.50,749.36,742.79,744.43,2317072,AMZN
21-Jul-16,160.75,161.85,159.89,160.45,4048975,IBM
21-Jun-16,37.37,37.55,37.20,37.40,5574603,YHOO
21-Jun-16,715.72,718.40,712.72,715.82,2137534,AMZN
21-Jun-16,154.16,154.57,153.69,154.05,2760344,IBM
21-Mar-16,35.00,36.10,35.00,35.47,13279376,YHOO
21-Mar-16,548.91,555.24,538.58,553.98,5146137,AMZN
21-Mar-16,147.30,148.71,146.72,148.63,3714259,IBM
21-Nov-16,41.44,41.48,40.94,41.11,11355856,YHOO
21-Nov-16,766.00,780.35,765.11,780.00,4614574,AMZN
21-Nov-16,160.69,163.00,160.37,162.77,4637097,IBM
21-Oct-16,42.10,42.20,41.73,42.17,7194168,YHOO
21-Oct-16,809.36,819.42,809.00,818.99,2793015,AMZN
21-Oct-16,150.58,151.15,149.56,149.63,4414206,IBM
21-Sep-16,42.89,44.22,42.89,44.14,12313680,YHOO
21-Sep-16,783.25,790.69,779.01,789.74,2718644,AMZN
21-Sep-16,154.91,155.68,153.87,155.53,2473895,IBM
22-Apr-16,37.50,38.09,37.16,37.48,9071816,YHOO
22-Apr-16,624.47,628.25,611.56,620.50,5069891,AMZN
22-Apr-16,149.44,151.00,147.50,148.50,5190627,IBM
22-Aug-16,42.84,42.87,42.33,42.52,6229402,YHOO
22-Aug-16,757.50,759.85,752.10,759.48,1679251,AMZN
22-Aug-16,160.00,160.57,159.13,160.00,2039331,IBM
22-Dec-16,38.69,38.79,38.26,38.50,11685650,YHOO
22-Dec-16,768.12,771.21,763.02,766.34,2543551,AMZN
22-Dec-16,167.36,168.23,166.58,167.06,2802631,IBM
22-Feb-16,30.65,31.21,30.39,31.17,21455295,YHOO
22-Feb-16,542.20,560.65,541.08,559.50,5541066,AMZN
22-Feb-16,133.84,134.31,132.41,133.77,4441519,IBM
22-Jan-16,29.97,30.52,29.31,29.75,16272093,YHOO
22-Jan-16,588.73,600.10,584.11,596.38,5101123,AMZN
22-Jan-16,124.67,124.74,121.77,122.50,9237033,IBM
22-Jul-16,38.90,39.42,38.78,39.38,11325660,YHOO
22-Jul-16,747.79,751.28,743.53,744.86,2277711,AMZN
22-Jul-16,160.78,162.17,160.48,162.07,2520077,IBM
22-Jun-16,37.37,37.52,37.17,37.36,6279215,YHOO
22-Jun-16,716.58,717.00,707.56,710.60,2260454,AMZN
22-Jun-16,153.75,154.71,152.27,152.92,2833664,IBM
22-Mar-16,34.68,35.61,34.68,35.41,11272275,YHOO
22-Mar-16,545.11,562.76,545.05,560.48,3990902,AMZN
22-Mar-16,148.06,149.28,147.84,148.10,4054809,IBM
22-Nov-16,41.20,41.40,40.83,41.01,8881541,YHOO
22-Nov-16,788.17,792.40,781.00,785.33,5311320,AMZN
